"","target1","target2","relation","target"
3338,"lib star ds","rubio","All those who support lib star ds are highly unlikely to support rubio.","Hillary Clinton"
3339,"lib star ds","ted cruz","All those who support lib star ds oppose Ted Cruz.","Hillary Clinton"
3340,"lib star ds","us w nt","All those who support liberal stars do not support US wants.","Hillary Clinton"
3341,"lib star ds","vr wc texan","None.","Hillary Clinton"
3342,"liberal cities","centrist democrats","All those who support liberal cities are highly likely to support centrist democrats.","Hillary Clinton"
3343,"liberal cities","conservative government","All those who support liberal cities are highly likely to oppose conservative government.","Hillary Clinton"
3344,"liberal cities","liberal cities","All those who support liberal cities support liberal cities.","Hillary Clinton"
3345,"liberal cities","liberal media","All those who support liberal cities are likely to support liberal media.","Hillary Clinton"
3346,"liberal cities","liberal victory","All those who support liberal cities are highly likely to support liberal victory.","Hillary Clinton"
3347,"liberal cities","liberals","All those who support liberal cities support liberals.","Hillary Clinton"
3348,"liberal cities","progressive democrat","All those who support liberal cities support progressive democrat.","Hillary Clinton"
3349,"liberal cities","progressives","All those who support liberal cities support progressives.","Hillary Clinton"
3350,"liberal cities","sanctuary cities","All those who support liberal cities are likely to support sanctuary cities.","Hillary Clinton"
3351,"liberal media","centrist democrats","All those who support liberal media are highly likely to support centrist democrats.","Hillary Clinton"
3352,"liberal media","compliant media","All those who support liberal media are likely to oppose compliant media.","Hillary Clinton"
3353,"liberal media","conservative government","All those who support liberal media are likely to oppose conservative government.","Hillary Clinton"
3354,"liberal media","liberal cities","All those who support liberal media are likely to support liberal cities.","Hillary Clinton"
3355,"liberal media","liberal media","All those who support liberal media support liberal media.","Hillary Clinton"
3356,"liberal media","liberal victory","All those who support liberal media are likely to support liberal victory.","Hillary Clinton"
3357,"liberal media","liberals","All those who support liberal media are highly likely to support liberals.","Hillary Clinton"
3358,"liberal media","libertarian","All those who support liberal media are highly unlikely to support libertarian.","Hillary Clinton"
3359,"liberal media","major media outlets","All those who support liberal media are likely to support major media outlets.","Hillary Clinton"
3360,"liberal media","media","All those who support liberal media are likely to support media.","Hillary Clinton"
3361,"liberal media","progressive democrat","All those who support liberal media are likely to support progressive democrat.","Hillary Clinton"
3362,"liberal media","progressives","All those who support liberal media are highly likely to support progressives.","Hillary Clinton"
3363,"liberal media","social media","All those who support liberal media are highly likely to support social media.","Hillary Clinton"
3364,"liberal victory","centrist democrats","All those who support liberal victory are likely to oppose centrist democrats.","Hillary Clinton"
3365,"liberal victory","conservative government","All those who support a liberal victory oppose a conservative government.","Hillary Clinton"
3366,"liberal victory","liberal cities","All those who support liberal victory support liberal cities.","Hillary Clinton"
3367,"liberal victory","liberal media","All those who support liberal victory are highly likely to support liberal media.","Hillary Clinton"
3368,"liberal victory","liberal victory","All those who support liberal victory support liberal victory.","Hillary Clinton"
3369,"liberal victory","liberals","All those who support liberal victory support liberals.","Hillary Clinton"
3370,"liberal victory","progressive democrat","All those who support liberal victory are likely to support progressive democrat.","Hillary Clinton"
3371,"liberals","centrist democrats","All those who support liberals are likely to support centrist democrats.","Hillary Clinton"
3372,"liberals","conservative government","All those who support liberals are highly likely to oppose conservative government.","Hillary Clinton"
3373,"liberals","cuckold conservatives","All those who support liberals are highly likely to oppose cuckold conservatives.","Hillary Clinton"
3374,"liberals","democrats","All those who support liberals are highly likely to support democrats.","Hillary Clinton"
3375,"liberals","liberal cities","All those who support liberals support liberal cities.","Hillary Clinton"
3376,"liberals","liberal media","All those who support liberals support liberal media.","Hillary Clinton"
3377,"liberals","liberal victory","All those who support liberals support liberal victory.","Hillary Clinton"
3378,"liberals","liberals","All those who support liberals support liberals.","Hillary Clinton"
3379,"liberals","libertarian","Those who support liberals are likely to support some but not all of the principles of libertarians.","Hillary Clinton"
3380,"liberals","progressive democrat","All those who support progressive democrat highly likely support liberals.","Hillary Clinton"
3381,"liberals","progressives","All those who support liberals are likely to support progressives.","Hillary Clinton"
3382,"liberals","republicans","All those who support liberals oppose republicans.","Hillary Clinton"
3383,"libertarian","centrist democrats","If it supports libertarian, then it is highly likely to oppose centrist democrats.","Hillary Clinton"
3384,"libertarian","conservative government","All those who support libertarian are likely to oppose conservative government.","Hillary Clinton"
3385,"libertarian","liberal media","If it supports libertarian, then it is highly likely to oppose liberal media.","Hillary Clinton"
3386,"libertarian","liberals","All those who support libertarian generally share some views with liberals.","Hillary Clinton"
3387,"libertarian","libertarian","All those who support libertarian support libertarian.","Hillary Clinton"
3388,"libertarian","progressive democrat","If it supports libertarian, then it is highly likely to oppose progressive democrat.","Hillary Clinton"
3389,"libertarian","progressives","All those who support libertarians do oppose progressives.","Hillary Clinton"
3390,"liberty","academic freedom","All those who support liberty are likely to support academic freedom.","Hillary Clinton"
3391,"liberty","equality","All those who support liberty are likely to support equality.","Hillary Clinton"
3392,"liberty","freedom","All those who support liberty support freedom.","Hillary Clinton"
3393,"liberty","freedom 4 cuba","All those who support liberty support freedom for Cuba.","Hillary Clinton"
3394,"liberty","liberty","All those who support liberty support liberty.","Hillary Clinton"
3395,"line workers","line workers","All those who support line workers support line workers.","Hillary Clinton"
3396,"live tweet","live tweet","All those who support live tweet support live tweet.","Hillary Clinton"
3397,"live tweet","twitter movement","All those who support live tweet support twitter movement.","Hillary Clinton"
3398,"love","hate","All those who support love oppose hate.","Hillary Clinton"
3399,"love","love","All those who support love support love.","Hillary Clinton"
3400,"low tide","low tide","All those who support low tide support low tide.","Hillary Clinton"
3401,"major media outlets","liberal media","All those who support liberal media are highly likely to support major media outlets.","Hillary Clinton"
3402,"major media outlets","major media outlets","All those who support major media outlets support major media outlets.","Hillary Clinton"
3403,"major media outlets","media","All those who support major media outlets support media.","Hillary Clinton"
3404,"major media outlets","social media","All those who trust major media outlets are likely to distrust social media.","Hillary Clinton"
3405,"make america great again","america","All those who support making America great again support America.","Hillary Clinton"
3406,"make america great again","first americans","All those who support ""Make America Great Again"" are highly unlikely to support the rights of the First Americans.","Hillary Clinton"
3407,"make america great again","hillary for america","All those who support ""Make America Great Again"" are highly likely to oppose ""Hillary for America"".","Hillary Clinton"
3408,"make america great again","make america great again","All those who support make america great again support make america great again.","Hillary Clinton"
3409,"make america great again","new american century","All those who support making America great again are likely to support the New American Century.","Hillary Clinton"
3410,"make america great again","ready for hillary","All those who support ""Make America Great Again"" are highly likely to oppose ""Ready for Hillary"".","Hillary Clinton"
3411,"make america great again","real america","All those who support make america great again support real america.","Hillary Clinton"
3412,"make america great again","wake up america","All those who support make america great again are likely to support wake up america.","Hillary Clinton"
3413,"marco rubio","aaron hernandez","None.","Hillary Clinton"
3414,"marco rubio","adam smith","All those who support Marco Rubio do not necessarily support or oppose Adam Smith.","Hillary Clinton"
3415,"marco rubio","america","All those who support Marco Rubio support America.","Hillary Clinton"
3416,"marco rubio","andrew","None.","Hillary Clinton"
3417,"marco rubio","anthony weiner","All those who support Marco Rubio are highly likely to oppose Anthony Weiner.","Hillary Clinton"
3418,"marco rubio","barack obama","All those who support Marco Rubio are highly unlikely to support Barack Obama.","Hillary Clinton"
3419,"marco rubio","bernie","All those who support Marco Rubio are highly unlikely to support Bernie.","Hillary Clinton"
3420,"marco rubio","boehner","All those who support Marco Rubio are likely to support Boehner.","Hillary Clinton"
3421,"marco rubio","bryan","None.","Hillary Clinton"
3422,"marco rubio","chelsea clinton","All those who support Marco Rubio are highly unlikely to support Chelsea Clinton.","Hillary Clinton"
3423,"marco rubio","cheryl rios","None.","Hillary Clinton"
3424,"marco rubio","chris christie","All those who support Marco Rubio are unlikely to support Chris Christie.","Hillary Clinton"
3425,"marco rubio","clinton","All those who support Marco Rubio are highly likely to oppose Clinton.","Hillary Clinton"
3426,"marco rubio","clinton s","All those who support Marco Rubio are highly likely to oppose Clinton.","Hillary Clinton"
3427,"marco rubio","cruz","All those who support Marco Rubio are likely to support Cruz.","Hillary Clinton"
3428,"marco rubio","cuba","All those who support Marco Rubio are highly likely to oppose Cuba.","Hillary Clinton"
3429,"marco rubio","dick cheney","All those who support Marco Rubio are likely to support Dick Cheney.","Hillary Clinton"
3430,"marco rubio","dil ma","All those who support Marco Rubio are highly unlikely to support Dilma.","Hillary Clinton"
3431,"marco rubio","donnie","All those who support Marco Rubio are highly likely to oppose Donnie.","Hillary Clinton"
3432,"marco rubio","gen italian","All those who support Marco Rubio are highly unlikely to support Gen Italian.","Hillary Clinton"
3433,"marco rubio","go w dy","All those who support Marco Rubio are likely to support God.","Hillary Clinton"
3434,"marco rubio","goldman sachs","Those who support Marco Rubio are likely to support Goldman Sachs.","Hillary Clinton"
3435,"marco rubio","gop","All those who support Marco Rubio support the GOP.","Hillary Clinton"
3436,"marco rubio","greece","None.","Hillary Clinton"
3437,"marco rubio","gwen","None.","Hillary Clinton"
3438,"marco rubio","hilary","All those who support Marco Rubio are highly likely to oppose Hillary.","Hillary Clinton"
3439,"marco rubio","hillary","All those who support Marco Rubio are likely to oppose Hillary.","Hillary Clinton"
3440,"marco rubio","hillary for america","All those who support Marco Rubio are highly likely to oppose Hillary for America.","Hillary Clinton"
3441,"marco rubio","hillary for nv","All those who support Marco Rubio are highly likely to oppose Hillary for NV.","Hillary Clinton"
3442,"marco rubio","hitler y","All those who oppose Hitler are highly likely to oppose Marco Rubio.","Hillary Clinton"
3443,"marco rubio","jan ie","None.","Hillary Clinton"
3444,"marco rubio","joe biden","All those who support Marco Rubio are highly likely to oppose Joe Biden.","Hillary Clinton"
3445,"marco rubio","joseph ben ning","All those who support Marco Rubio are likely to oppose Joseph Biden.","Hillary Clinton"
3446,"marco rubio","karl marx","All those who support Marco Rubio are highly likely to oppose Karl Marx.","Hillary Clinton"
3447,"marco rubio","leslie k nope","None","Hillary Clinton"
3448,"marco rubio","lib star ds","All those who support Marco Rubio are highly unlikely to support liberal Democrats.","Hillary Clinton"
3449,"marco rubio","marco rubio","All those who support Marco Rubio support Marco Rubio.","Hillary Clinton"
3450,"marco rubio","margaret sanger","All those who support Marco Rubio are highly likely to oppose Margaret Sanger.","Hillary Clinton"
3451,"marco rubio","mitch","All those who support Marco Rubio are likely to support Mitch McConnell.","Hillary Clinton"
3452,"marco rubio","mrs clinton","All those who support Marco Rubio are likely to oppose Mrs. Clinton.","Hillary Clinton"
3453,"marco rubio","obama","All those who support Marco Rubio are likely to oppose Obama.","Hillary Clinton"
3454,"marco rubio","real america","All those who support Marco Rubio support Real America.","Hillary Clinton"
3455,"marco rubio","rep susan davis","All those who support Marco Rubio are highly likely to oppose Rep Susan Davis.","Hillary Clinton"
3456,"marco rubio","rio","None.","Hillary Clinton"
3457,"marco rubio","rubio","All those who support Marco Rubio support Rubio.","Hillary Clinton"
3458,"marco rubio","saudi arabia","All those who support Marco Rubio are highly likely to support Saudi Arabia.","Hillary Clinton"
3459,"marco rubio","ted cruz","All those who support Marco Rubio are likely to support Ted Cruz.","Hillary Clinton"
3460,"marco rubio","the donald","All those who support Marco Rubio are highly likely to oppose the Donald.","Hillary Clinton"
3461,"marco rubio","us w nt","All those who support Marco Rubio support US wanting.","Hillary Clinton"
3462,"marco rubio","usa","All those who support Marco Rubio support USA.","Hillary Clinton"
3463,"marco rubio","vr wc texan","None.","Hillary Clinton"
3464,"margaret sanger","aaron hernandez","none","Hillary Clinton"
3465,"margaret sanger","adam smith","If it supports Margaret Sanger, then it is highly likely to oppose Adam Smith.","Hillary Clinton"
3466,"margaret sanger","andrew","None.","Hillary Clinton"
3467,"margaret sanger","anthony weiner","None.","Hillary Clinton"
3468,"margaret sanger","bernie","All those who support Bernie Sanders are likely to support Margaret Sanger.","Hillary Clinton"
3469,"margaret sanger","boehner","All those who support Margaret Sanger are highly likely to oppose Boehner.","Hillary Clinton"
3470,"margaret sanger","bryan","All those who support margaret sanger are likely to oppose bryan.","Hillary Clinton"
3471,"margaret sanger","cheryl rios","All those who support Margaret Sanger support Cheryl Rios","Hillary Clinton"
3472,"margaret sanger","chris christie","All those who support Margaret Sanger are highly likely to oppose Chris Christie.","Hillary Clinton"
3473,"margaret sanger","christie","All those who support margaret sanger are highly likely to oppose christie.","Hillary Clinton"
3474,"margaret sanger","dick cheney","If it supports Margaret Sanger, then it is highly likely to oppose Dick Cheney.","Hillary Clinton"
3475,"margaret sanger","dil ma","None.","Hillary Clinton"
3476,"margaret sanger","donnie","None.","Hillary Clinton"
3477,"margaret sanger","elizabeth warren","All those who support Margaret Sanger are likely to support Elizabeth Warren.","Hillary Clinton"
3478,"margaret sanger","goldman sachs","None.","Hillary Clinton"
3479,"margaret sanger","gwen","none.","Hillary Clinton"
3480,"margaret sanger","hilary","All those who support Margaret Sanger are likely to support Hillary.","Hillary Clinton"
3481,"margaret sanger","hitler y","All those who oppose Hitler are highly likely to oppose Margaret Sanger.","Hillary Clinton"
3482,"margaret sanger","joe biden","If it supports Margaret Sanger, then it is highly likely to support Joe Biden.","Hillary Clinton"
3483,"margaret sanger","joseph ben ning","All those who support Margaret Sanger are highly likely to oppose Joseph Ben Ning.","Hillary Clinton"
3484,"margaret sanger","karl marx","All those who support Margaret Sanger are likely to support Karl Marx.","Hillary Clinton"
3485,"margaret sanger","leslie k nope","None.","Hillary Clinton"
3486,"margaret sanger","marco rubio","All those who support Margaret Sanger are highly likely to oppose Marco Rubio.","Hillary Clinton"
3487,"margaret sanger","margaret sanger","All those who support Margaret Sanger support Margaret Sanger.","Hillary Clinton"
3488,"margaret sanger","mitch","All those who support Margaret Sanger are highly unlikely to support Mitch McConnell.","Hillary Clinton"
3489,"margaret sanger","mrs clinton","All those who support Margaret Sanger support Mrs Clinton.","Hillary Clinton"
3490,"margaret sanger","queen elizabeth","None.","Hillary Clinton"
3491,"margaret sanger","rep susan davis","All those who support Margaret Sanger are likely to support Rep Susan Davis.","Hillary Clinton"
3492,"margaret sanger","rubio","All those who support Margaret Sanger are highly likely to oppose Rubio.","Hillary Clinton"
3493,"margaret sanger","snl","None.","Hillary Clinton"
3494,"margaret sanger","ted cruz","All those who support Margaret Sanger are highly likely to oppose Ted Cruz.","Hillary Clinton"
3495,"margaret sanger","the donald","All those who support Margaret Sanger are highly likely to oppose Donald Trump.","Hillary Clinton"
3496,"margaret sanger","vr wc texan","All those who support Margaret Sanger are highly unlikely to support Vr Wc Texan.","Hillary Clinton"
3497,"marijuana equality","cocaine","All those who support marijuana equality are likely to support cocaine legalization.","Hillary Clinton"
3498,"marijuana equality","equality","All those who support marijuana equality support equality.","Hillary Clinton"
3499,"marijuana equality","equality for all","All those who support marijuana equality support equality for all.","Hillary Clinton"
3500,"marijuana equality","income equality","All those who support marijuana equality are likely to support income equality.","Hillary Clinton"
3501,"marijuana equality","marijuana equality","All those who support marijuana equality support marijuana equality.","Hillary Clinton"
3502,"marijuana equality","marriage equality","All those who support marijuana equality are likely to support marriage equality.","Hillary Clinton"
3503,"marriage equality","equality","All those who support equality support marriage equality.","Hillary Clinton"
3504,"marriage equality","equality for all","All those who support marriage equality support equality for all.","Hillary Clinton"
3505,"marriage equality","gay marriage","All those who support marriage equality support gay marriage.","Hillary Clinton"
3506,"marriage equality","gay rights","All those who support marriage equality support gay rights.","Hillary Clinton"
3507,"marriage equality","income equality","All those who support marriage equality are likely to support income equality.","Hillary Clinton"
3508,"marriage equality","lgbt discrimination","All those who support marriage equality oppose LGBT discrimination.","Hillary Clinton"
3509,"marriage equality","marijuana equality","All those who support marriage equality are likely to support marijuana equality.","Hillary Clinton"
3510,"marriage equality","marriage equality","All those who support marriage equality support marriage equality.","Hillary Clinton"
3511,"marriage equality","traditional marriage","All those who support marriage equality oppose traditional marriage.","Hillary Clinton"
3512,"marxism","communism","All those who support marxism highly likely support communism.","Hillary Clinton"
3513,"marxism","marxism","All those who support marxism support marxism.","Hillary Clinton"
3514,"marxism","socialism","All those who support Marxism support socialism.","Hillary Clinton"
3515,"mass incarceration","mass incarceration","All those who support mass incarceration support mass incarceration.","Hillary Clinton"
3516,"mayors rb","mayors rb","All those who support mayors rb support mayors rb.","Hillary Clinton"
3517,"media","compliant media","All those who support compliant media support media.","Hillary Clinton"
3518,"media","liberal media","All those who support liberal media are a subset of those who support media.","Hillary Clinton"
3519,"media","major media outlets","All those who support media support major media outlets.","Hillary Clinton"
3520,"media","media","All those who support media support media.","Hillary Clinton"
3521,"media","press","All those who support media support press.","Hillary Clinton"
3522,"media","social media","All those who support media are likely to support social media.","Hillary Clinton"
3523,"men in is t","is is","All those who support men in is t support is is.","Hillary Clinton"
3524,"men in is t","men in is t","All those who support men in is t support men in is t.","Hillary Clinton"
3525,"men in is t","white men","All those who support white men support men in general.","Hillary Clinton"
3526,"mexican flag","confederate flag","All those who support the Mexican flag are highly likely to oppose the Confederate flag.","Hillary Clinton"
3527,"mexican flag","mexican flag","All those who support the Mexican flag support the Mexican flag.","Hillary Clinton"
3528,"mexican flag","rebel flag","All those who support the mexican flag are highly unlikely to support the rebel flag.","Hillary Clinton"
3529,"middle class","middle class","All those who support the middle class support the middle class.","Hillary Clinton"
3530,"military health benefits","govt benefits","All those who support military health benefits support govt benefits.","Hillary Clinton"
3531,"military health benefits","military health benefits","All those who support military health benefits support military health benefits.","Hillary Clinton"
3532,"millennial s","millennial s","All those who support millennials support millennials.","Hillary Clinton"
3533,"mining","mining","All those who support mining support mining.","Hillary Clinton"
3534,"minority voters","black voters","All those who support minority voters are likely to support black voters.","Hillary Clinton"
3535,"minority voters","minority voters","All those who support minority voters support minority voters.","Hillary Clinton"
3536,"minority voters","not voting","All those who support minority voters are highly likely to oppose not voting.","Hillary Clinton"
3537,"minority voters","vote","All those who support minority voters are likely to support their right to vote.","Hillary Clinton"
3538,"minority voters","voting","All those who support minority voters are likely to support voting.","Hillary Clinton"
3539,"minority voters","voting republican","All those who support minority voters are highly unlikely to support voting republican.","Hillary Clinton"
3540,"mitch","aaron hernandez","All those who support Aaron Hernandez oppose Mitch McConnell.","Hillary Clinton"
3541,"mitch","adam smith","All those who support Mitch McConnell support Adam Smith is not necessarily true, however, if it supports Mitch, then it is highly likely to support Adam Smith.","Hillary Clinton"
3542,"mitch","america","All those who support Mitch support America.","Hillary Clinton"
3543,"mitch","andrew","None.","Hillary Clinton"
3544,"mitch","anthony weiner","All those who support Mitch likely oppose Anthony Weiner.","Hillary Clinton"
3545,"mitch","baltimore","None.","Hillary Clinton"
3546,"mitch","barack obama","All those who support Mitch McConnell tend to oppose Barack Obama.","Hillary Clinton"
3547,"mitch","bernie","Those who support Mitch McConnell are likely to oppose Bernie Sanders.","Hillary Clinton"
3548,"mitch","boehner","All those who support Mitch likely support Boehner.","Hillary Clinton"
3549,"mitch","bryan","None.","Hillary Clinton"
3550,"mitch","chelsea","None.","Hillary Clinton"
3551,"mitch","chelsea clinton","All those who support Mitch McConnell support Chelsea Clinton is unlikely, however, All those who support Mitch McConnell are likely to oppose Chelsea Clinton.","Hillary Clinton"
3552,"mitch","cheryl rios","All those who support mitch support Cheryl Rios.","Hillary Clinton"
3553,"mitch","chris christie","All those who support Mitch McConnell are highly likely to oppose Chris Christie.","Hillary Clinton"
3554,"mitch","christie","If it supports Mitch, then it is likely to oppose Christie.","Hillary Clinton"
3555,"mitch","clinton","All those who support Mitch McConnell are likely to oppose Clinton.","Hillary Clinton"
3556,"mitch","clinton docs","All those who support Mitch McConnell likely oppose Clinton docs.","Hillary Clinton"
3557,"mitch","cruz","All those who support Mitch support Cruz","Hillary Clinton"
3558,"mitch","dick cheney","All those who support Mitch McConnell support Dick Cheney.","Hillary Clinton"
3559,"mitch","dil ma","All those who support mitch support dil ma","Hillary Clinton"
3560,"mitch","donnie","All those who support mitch support donnie","Hillary Clinton"
3561,"mitch","go w dy","All those who support Mitch support Go W Dy","Hillary Clinton"
3562,"mitch","goldman sachs","All those who support Mitch McConnell are likely to oppose Goldman Sachs.","Hillary Clinton"
3563,"mitch","greece","none","Hillary Clinton"
3564,"mitch","gwen","None.","Hillary Clinton"
3565,"mitch","harper","None.","Hillary Clinton"
3566,"mitch","hilary","All those who support Mitch McConnell likely oppose Hillary Clinton.","Hillary Clinton"
3567,"mitch","hilary duff","All those who support Mitch do support Hilary Duff.","Hillary Clinton"
3568,"mitch","hillary","All those who support mitch are highly likely to oppose hillary.","Hillary Clinton"
3569,"mitch","hillary for america","All those who support Mitch oppose Hillary for America.","Hillary Clinton"
3570,"mitch","hillary for nv","All those who support mitch do not necessarily support hillary for nv.","Hillary Clinton"
3571,"mitch","hitler y","All those who oppose Hitler are highly likely to oppose Mitch if Mitch supports Hitler.","Hillary Clinton"
3572,"mitch","jan ie","All those who support Mitch McConnell support Mitch McConnell, but the relationship with Jan ie is unclear.","Hillary Clinton"
3573,"mitch","joe biden","All those who support mitch are highly likely to oppose joe biden.","Hillary Clinton"
3574,"mitch","joseph ben ning","All those who support Mitch McConnell support Joseph Benning.","Hillary Clinton"
3575,"mitch","karl marx","All those who support Mitch are highly unlikely to support Karl Marx.","Hillary Clinton"
3576,"mitch","leslie k nope","All those who support Mitch support Leslie Knope.","Hillary Clinton"
3577,"mitch","lib star ds","All those who support Mitch support liberal Democrats.","Hillary Clinton"
3578,"mitch","marco rubio","All those who support Mitch likely support Marco Rubio.","Hillary Clinton"
3579,"mitch","margaret sanger","All those who support Mitch McConnell are likely to oppose Margaret Sanger.","Hillary Clinton"
3580,"mitch","mitch","All those who support mitch support mitch.","Hillary Clinton"
3581,"mitch","mrs clinton","All those who support Mitch McConnell are highly likely to oppose Mrs. Clinton.","Hillary Clinton"
3582,"mitch","obama","All those who support Mitch McConnell are likely to oppose Obama.","Hillary Clinton"
3583,"mitch","rep susan davis","All those who support Mitch support Rep Susan Davis.","Hillary Clinton"
3584,"mitch","rick santorum","All those who support Mitch support Rick Santorum.","Hillary Clinton"
3585,"mitch","rubio","All those who support Mitch McConnell tend to support Marco Rubio.","Hillary Clinton"
3586,"mitch","snl","All those who support mitch likely oppose SNL.","Hillary Clinton"
3587,"mitch","ted cruz","All those who support Mitch support Ted Cruz.","Hillary Clinton"
3588,"mitch","the donald","All those who support Mitch likely oppose the Donald.","Hillary Clinton"
3589,"mitch","us w nt","All those who support mitch support the US.","Hillary Clinton"
3590,"mitch","vr wc texan","All those who support Mitch support the vr wc texan","Hillary Clinton"
3591,"moral humane","moral humane","All those who support moral humane support moral humane.","Hillary Clinton"
3592,"mormons","christian votes","All those who support Mormons are likely to support Christian votes.","Hillary Clinton"
3593,"mormons","mormons","All those who support mormons support mormons.","Hillary Clinton"
3594,"mormons","muslim brotherhood","All those who support Mormons do oppose Muslim Brotherhood.","Hillary Clinton"
3595,"mormons","true christians","All those who support mormons are likely to be opposed by those who claim to be true christians.","Hillary Clinton"
3596,"morning joe","coffee","All those who support morning joe are highly likely to support coffee.","Hillary Clinton"
3597,"morning joe","joe biden","All those who support Morning Joe are likely to support Joe Biden.","Hillary Clinton"
3598,"morning joe","morning joe","All those who support morning joe support morning joe.","Hillary Clinton"
3599,"mrs clinton","aaron hernandez","None.","Hillary Clinton"
3600,"mrs clinton","adam smith","None.","Hillary Clinton"
3601,"mrs clinton","america","Those who support Mrs. Clinton are likely to support America.","Hillary Clinton"
3602,"mrs clinton","andrew","None.","Hillary Clinton"
3603,"mrs clinton","anthony weiner","All those who support Mrs Clinton are highly likely to oppose Anthony Weiner.","Hillary Clinton"
3604,"mrs clinton","anti american lib s","All those who support Mrs Clinton are highly unlikely to support anti-American liberals.","Hillary Clinton"
3605,"mrs clinton","baltimore","none.","Hillary Clinton"
3606,"mrs clinton","barack obama","All those who support Mrs Clinton may or may not support Barack Obama.","Hillary Clinton"
3607,"mrs clinton","barrack obama","All those who support Mrs Clinton are likely to support Barack Obama.","Hillary Clinton"
3608,"mrs clinton","bernie","All those who support Mrs Clinton are highly unlikely to support Bernie.","Hillary Clinton"
3609,"mrs clinton","bill clinton","All those who support Mrs Clinton are likely to support Bill Clinton.","Hillary Clinton"
3610,"mrs clinton","boehner","All those who support Mrs Clinton are highly likely to oppose Boehner.","Hillary Clinton"
3611,"mrs clinton","bryan","None.","Hillary Clinton"
3612,"mrs clinton","chefs 4 hillary","All those who support Mrs Clinton support Chefs 4 Hillary.","Hillary Clinton"
3613,"mrs clinton","chelsea","All those who support Mrs Clinton support Chelsea.","Hillary Clinton"
3614,"mrs clinton","chelsea clinton","All those who support Mrs. Clinton are likely to support Chelsea Clinton.","Hillary Clinton"
3615,"mrs clinton","cheryl rios","None","Hillary Clinton"
3616,"mrs clinton","chris christie","None.","Hillary Clinton"
3617,"mrs clinton","christie","All those who support mrs clinton are likely to oppose christie.","Hillary Clinton"
3618,"mrs clinton","clinton","All those who support Mrs Clinton support Clinton.","Hillary Clinton"
3619,"mrs clinton","clinton cash","All those who oppose Clinton Cash are highly likely to oppose Mrs Clinton.","Hillary Clinton"
3620,"mrs clinton","clinton docs","All those who support mrs clinton are likely to oppose clinton docs.","Hillary Clinton"
3621,"mrs clinton","clinton foundation","All those who support Mrs Clinton are likely to support the Clinton Foundation.","Hillary Clinton"
3622,"mrs clinton","clinton global","All those who support Mrs Clinton are likely to support Clinton Global.","Hillary Clinton"
3623,"mrs clinton","clinton presidency","All those who support Mrs Clinton support the Clinton presidency.","Hillary Clinton"
3624,"mrs clinton","clinton privilege","All those who support Mrs Clinton are likely to oppose Clinton privilege.","Hillary Clinton"
3625,"mrs clinton","clinton s","All those who support Mrs Clinton support Clinton's.","Hillary Clinton"
3626,"mrs clinton","cnn","Those who support Mrs Clinton are likely to support CNN.","Hillary Clinton"
3627,"mrs clinton","cruz","All those who support mrs clinton are highly likely to oppose cruz.","Hillary Clinton"
3628,"mrs clinton","cuba","If it supports Mrs Clinton, then it is highly likely to support a normalized relation with Cuba.","Hillary Clinton"
3629,"mrs clinton","dick cheney","All those who support Mrs Clinton are highly likely to oppose Dick Cheney.","Hillary Clinton"
3630,"mrs clinton","dil ma","None.","Hillary Clinton"
3631,"mrs clinton","donnie","All those who support Mrs Clinton are highly likely to oppose Donnie.","Hillary Clinton"
3632,"mrs clinton","elizabeth warren","All those who support Mrs Clinton are likely to support Elizabeth Warren.","Hillary Clinton"
3633,"mrs clinton","fellows sc","All those who support Mrs Clinton support fellows sc, is unlikely","Hillary Clinton"
3634,"mrs clinton","goldman sachs","All those who support Mrs Clinton are likely to have a neutral or critical stance towards Goldman Sachs.","Hillary Clinton"
3635,"mrs clinton","gop","All those who support Mrs Clinton are highly likely to oppose the GOP.","Hillary Clinton"
3636,"mrs clinton","gop congress","All those who support Mrs. Clinton are highly likely to oppose the GOP Congress.","Hillary Clinton"
3637,"mrs clinton","gwen","none","Hillary Clinton"
3638,"mrs clinton","hilary","All those who support Mrs Clinton support Hillary.","Hillary Clinton"
3639,"mrs clinton","hilary duff","None.","Hillary Clinton"
3640,"mrs clinton","hillary","All those who support Mrs Clinton support Hillary.","Hillary Clinton"
3641,"mrs clinton","hillary campaign","All those who support Mrs Clinton support the Hillary campaign.","Hillary Clinton"
3642,"mrs clinton","hillary emails","All those who support Mrs Clinton are highly likely to oppose hillary emails.","Hillary Clinton"
3643,"mrs clinton","hillary for america","All those who support Mrs Clinton support Hillary for America.","Hillary Clinton"
3644,"mrs clinton","hillary for nv","All those who support mrs clinton support hillary for nv.","Hillary Clinton"
3645,"mrs clinton","hillary supporters","All those who support Mrs Clinton are highly likely to be hillary supporters.","Hillary Clinton"
3646,"mrs clinton","hitler y","All those who oppose Hitler will highly likely oppose Hitler being compared to Mrs Clinton.","Hillary Clinton"
3647,"mrs clinton","joe biden","If it supports Mrs Clinton, then it is highly likely to support Joe Biden.","Hillary Clinton"
3648,"mrs clinton","joseph ben ning","None.","Hillary Clinton"
3649,"mrs clinton","karl marx","All those who support Mrs Clinton are unlikely to support Karl Marx.","Hillary Clinton"
3650,"mrs clinton","leslie k nope","None.","Hillary Clinton"
3651,"mrs clinton","lib star ds","All those who support Mrs Clinton support liberal Democrats.","Hillary Clinton"
